Nombre;Query1;Nombre_Archivo;Carpeta
La Prensa;@laprensacurico;laprensacurico;Prensa
La Regi�n;@LaRegionHoy;LaRegionHoy;Prensa
La Tribuna;@latribunacl;latribunacl;Prensa
Los 40;@40ChileOficial;40ChileOficial;Prensa
Mar�a Chile;@radiomariachile;radiomariachile;Prensa
M�s TV (ex UCV);@CanalTV_mas;CanalTV_mas;Prensa
Oasis FM;@OasisFMChile;OasisFMChile;Prensa
Pauta FM;@Pauta_cl;Pauta_cl;Prensa
Play FM;@play_fm;play_fm;Prensa
Pudahuel;@RadioPudahuel;RadioPudahuel;Prensa
Pulso;@pulso_tw;pulso_tw;Prensa
Punto 9;@punto9;punto9;Prensa
Rock & Pop;@rockandpop;rockandpop;Prensa
Rom�ntica FM;@Radio_Romantica;Radio_Romantica;Prensa
Sonar FM;@sonarfm;sonarfm;Prensa
Telecanal;@Telecanal;Telecanal;Prensa
Universidad de Chile;@uchileradio;uchileradio;Prensa
Universidad de Santiago;@radiousach;radiousach;Prensa
Universo;@RadioUniverso;RadioUniverso;Prensa
Zero;@radiozero977;radiozero977;Prensa
